LncRNA name,Cancer name,Expression pattern,Methods,Pubmed ID,No. of Transcript variants (lncRNAs),LncRNA aliases
TUG1,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, RIP",30092578,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot",31301261,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Intrahepatic Cholangiocarcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay etc.",29371936,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Hepatoblastoma,up-regulated,"qPCR, RNAi, Western blot etc.",27362796,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Cholangiocarcinoma,up-regulated,"qPCR, Western blot etc.",29029475,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Hepatocellular Carcinoma,up-regulated,"qPCR, RNAi, Western blot, RIP, Flow cytometry assay etc.",26336870,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,up-regulated,"qRT-PCR, Western blot",32057513,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,up-regulated,"qRT-PCR, Western blot",32016963,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,down-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RNAi",29967294,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,up-regulated,"qPCR, Western blot etc.",32256083,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,up-regulated,"qPCR, Western blot",30964164,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,up-regulated,qPCR,31210308,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,up-regulated,qPCR,31210296,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,up-regulated,"qPCR, Western blot, RIP, Dual luciferase reporter assay etc.",26975529,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,up-regulated,"Microarray, qPCR etc.",27556357,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,up-regulated,"qPCR, Flow cytometry assay, Western blot, Luciferase reporter assay, etc.",29967294,8,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUSC7,Gastric Cancer,down-regulated,"Microarray, qPCR, RNAi etc.",25765901,1 (TUSC7),LSAMPAS3; LINC00902; LSAMP-AS1; LSAMP-AS3; NCRNA00295
TUSC7,Non Small Cell Lung Cancer,down-regulated,qPCR etc.,27158360,1,LSAMPAS3; LINC00902; LSAMP-AS1; LSAMP-AS3; NCRNA00295
TUSC7,Hepatocellular Carcinoma,down-regulated,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",27002617,1,LSAMPAS3; LINC00902; LSAMP-AS1; LSAMP-AS3; NCRNA00295
TUSC8,Cervical Cancer,down-regulated,"qRT-PCR, Western blotting, RIP etc.",31033083,1,LINC01071; XLOC_010588
U47924.27,Nasopharyngeal Cancer,down-regulated,"Microarray, qPCR etc.",27886062,1,U47924.27
UBE2Q1-AS1,Gastric Cancer,up-regulated,"Microarray, qPCR",31934786,1,UBE2Q1 antisense RNA 1;UBE2Q1 antisense RNA 1 (non-protein coding);HSALNG0007414;NONHSAG003021.2
uc.134,Hepatocellular Carcinoma,down-regulated,"qPCR, RIP etc.",28420424,1,"UC.134, Long Non-Coding RNA Uc.134"
"uc.338",Hepatocellular Carcinoma,up-regulated,"qPCR, RNAi, RIP etc.",27154519,1,TUC338; uc.338; TUC.338; PCBP2-OT1
"UC001kfo ",Hepatocellular Carcinoma,up-regulated,RNA Sequencing etc.,28786067,1,ZXF1; UC001kfo; uc001kfo.1; ACTA2-AS1
"UC001kfo ",Hepatocellular Carcinoma,up-regulated,"qPCR, RNAi, Western blot, MTT assay etc.",28088733,1,ZXF1; UC001kfo; uc001kfo.1; ACTA2-AS1
"uc002mbe.2 ",Hepatocellular Carcinoma,up-regulated,qPCR etc.,27495068,1,Huh7; PGSF1; C19orf30; LINC00306; NCRNA00306; uc002mbe.2; MIR7-3HG
"uc002mbe.2 ",Liver Cancer,up-regulated,"qPCR, Western blot, RNAi, RIP",28993733,1,Huh7; PGSF1; C19orf30; LINC00306; NCRNA00306; uc002mbe.2; MIR7-3HG
"uc002mbe.2 ",Liver Cancer,down-regulated,"Microarray, qPCR etc.",23643933,1,Huh7; PGSF1; C19orf30; LINC00306; NCRNA00306; uc002mbe.2; MIR7-3HG
"uc002pyc ",Hepatocellular Carcinoma,up-regulated,"Microarray, qPCR, RIP, RNA pull-down assay etc.",21769904,1,HCCAT3; uc002pyc; ZNF350-AS1
UC011CLY.2,Lung Squamous Cell Carcinoma,up-regulated,"Microarray, qPCR etc.",28076325,1,SLC9A3 antisense RNA 1;UC011CLY.2;HSALNG0039449;NONHSAG039631.2;HSALNG0039450;HSALNG0039451;lnc-EXOC3-1
UCA1,Colorectal Cancer,down-regulated,"qRT-PCR, Western blot",32143722,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colorectal Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown",29948578,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colorectal Cancer,differential expression,"qPCR, Western blot, RIP",31558855,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colorectal Cancer,up-regulated,"Western blotting, Luciferase Reporter Assay, RIP, qRT-PCR",31955010,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,colorectal cancer,NA,"qRT-PCR , Western blot , in vitro knockdown etc.",31579420,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colorectal Cancer,up-regulated,"qPCR, Western blot, RNAi, other",30377411,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colorectal Cancer,down-regulated,"qPCR, Western blot, other",30362538,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colorectal Cancer,down-regulated,"qPCR, other",30195762,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colon Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP, etc.",30652355,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colorectal Cancer,up-regulated,qPCR,31262449,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colon Cancer,up-regulated,qPCR etc.,26885155,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colon Cancer,up-regulated,"qPCR, Western blot, Northern blot, Flow cytometry assay etc.",17416635,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colorectal Cancer,up-regulated,"qPCR, Western blot, RIP, Luciferase reporter assay etc.",27046651,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colorectal Cancer,up-regulated,qPCR,28406230,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colorectal Cancer,up-regulated,"Microarray, qPCR, RNAi, Luciferase reporter assay etc.",26238511,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colorectal Cancer,up-regulated,qPCR etc.,24977734,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Colorectal Cancer,up-regulated,"qPCR, Western blot, RNAI, etc.",29948578,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Ovarian Cancer,up-regulated,"qRT-PCR, Western blot",32016960,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Ovarian Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",29777711,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Ovarian Cancer,up-regulated,"qRT-PCR , Microarray etc.",31011626,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Epithelial Ovarian Cancer,differential expression,"RNA-seq, qPCR, Western blot, RIP",31307004,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Ovarian Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",31234009,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Epithelial Ovarian Cancer,up-regulated,"qPCR, RNAi, RIP, Luciferase reporter assay etc.",26867765,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Ovarian Cancer,up-regulated,qPCR etc.,26851957,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Ovarian Cancer,up-regulated,"qPCR, RNAi, Western blot, MTT assay etc.",25866223,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Ovarian Cancer,down-regulated,"Microarray, qPCR etc.",24379988,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Ovarian Cancer,up-regulated,qPCR,29953778,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Ovarian Cancer,up-regulated,"qPCR, western blot etc.",29777711,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Intraductal Papillary Mucinous Neoplasms Of The Pancreas,differential expression,qPCR etc.,28874676,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Pancreatic Ductal Adenocarcinoma,up-regulated,"Microarray, qPCR, Cell proliferation assay etc.",27628540,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Pancreatic Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RNAi, RIP etc.",29510195,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Pancreatic Cancer,up-regulated,"qPCR, RNAi, Western blot, Flow cytometry assay, Cell proliferation assay etc.",27562722,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Pancreatic Cancer,up-regulated,"qPCR, RNAi, Northern blot, Luciferase reporter assay, Flow cytometry assay etc.",28315290,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Pancreatic Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.",29500870,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Cervical Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown",30015920,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Cervical Cancer,up-regulated,"qPCR, Luciferase Reporter Assay etc",32329829,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Cervical Cancer,up-regulated,"Microarray, qPCR, Western blot",31949782,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Papillomavirus-Mediated Cervical Cancer,up-regulated,RNA-seq etc.,28970820,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Cervical Cancer,up-regulated,qPCR etc.,29620291,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Cervical Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown",28414550,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Cervical Cancer,up-regulated,"qPCR, Western blot, Northern blot, Flow cytometry assay etc.",17416635,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Cervical Cancer,up-regulated,"qPCR, Luciferase reporter assay, in vitro knockdown etc.",29523226,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"qRT-PCR, Western blot",31982772,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,qPCR,29805620,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"qPCR, Western blot, RIP",32328192,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,qPCR,30918102,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,qPCR,31532112,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"qPCR, RNA-seq, RIP, Western blot Assay",31689615,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"qPCR, RIP, Western blot, Luciferase reporter assay, Microarray, other",30464170,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"qPCR, Western blot, RNAi, Luciferase reporter assay, other",30368875,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",31272462,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"qPCR, Western blot, RIP etc.",29723509,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"qPCR, Western blot etc.",28843497,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,qPCR etc.,29147491,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,qPCR,28423525,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"Microarray, qPCR etc.",26718650,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,qPCR etc.,26935047,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,qPCR etc.,25694351,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"Microarray, qPCR etc.",25769450,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,qPCR etc.,26722487,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"qPCR, Western blot, Flow cytometry assay etc.",27694794,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.",29516678,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"qPCR, RNAi, Western blot, CCK-8 assay etc.",28075173,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"qPCR, Western blot etc.",29212166,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,"qPCR, Western blot etc.",27056384,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,qPCR etc.,25903045,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Gastric Cancer,up-regulated,Microarray qPCR etc.,29805620,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Oral Squamous Cell Carcinoma,up-regulated,"qRT-PCR, Western blot",32130788,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Nasopharyngeal Cancer,up-regulated,"qPCR, western blot",31537148,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Laryngeal Squamous Cell Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown, etc.",30679991,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Tongue Cancer,up-regulated,"qPCR, Luciferase reporter assay, RIP, etc.",30635938,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Nasopharyngeal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, etc.",30498361,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hypopharyngeal Carcinoma,up-regulated,"qPCR, RNAi, Cell cycle assay, Cell migration and invasion assay etc.",28327194,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Tongue Squamous Cell Carcinoma,up-regulated,"qPCR, Western blot etc.",29441929,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Tongue Squamous Cell Carcinoma,up-regulated,qPCR etc.,24332332,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Oral Squamous Cell Carcinoma,up-regulated,qPCR etc.,23292713,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Oral Squamous Cell Carcinoma,up-regulated,"qPCR, Luciferase reporter assay, Western blot",29125238,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Oral Squamous Cell Carcinoma,up-regulated,"qPCR, Cell transfection, Cell migration and invasion assay etc.",27560546,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Lung Cancer,down-regulated,"qPCR, Western blot",30001775,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Non Small Cell Lung Cancer,up-regulated,qPCR,31938341,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Lung Cancer,up-regulated,qPCR,30918102,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Lung Cancer,up-regulated,qPCR,30868851,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Non Small Cell Lung Cancer,up-regulated,"Western blotting, qRT-PCR, Luciferase Reporter Assay, RIP",31951852,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Lung Cancer,up-regulated,"qPCR, RNAi, Western blot, other",30468471,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, etc.",30652341,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Lung Cancer,up-regulated,"qPCR, etc.",30556875,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Lung Adenocarcinoma,differential expression,"Microarray, qPCR",29279851,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Non Small Cell Lung Cancer,up-regulated,"Microarray, qPCR etc.",28040594,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Lung Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RNAi",29355524,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Lung Cancer,up-regulated,"luciferase reporter assay, qPCR, western blot etc.",28762326,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Lung Cancer,up-regulated,qPCR etc.,26380024,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Lung Cancer,up-regulated,"qPCR, Western blot, Northern blot, Flow cytometry assay etc.",17416635,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, RIP, Luciferase reporter assay etc.",26655272,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Non Small Cell Lung Cancer,up-regulated,"qPCR, RNAi, Western blot etc.",26160838,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,up-regulated,qPCR,31354286,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,up-regulated,qPCR etc.,32329833,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,up-regulated,qPCR,30918102,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot",30070319,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Intrahepatic Cholangiocarcinoma,up-regulated,"qPCR, Luciferase reporter assay",31258634,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Cholangiocarcinoma,up-regulated,"qPCR, Western blot etc.",29221199,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Liver Cancer,up-regulated,"qPCR, Western blot, RIP etc.",26581161,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Liver Cancer,up-regulated,"qPCR, Western blot, RIP, ChIP, ISH etc.",26513297,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Liver Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown",29523218,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,up-regulated,qPCR,28856933,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,down-regulated,"qPCR, Western blot etc.",29748795,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,differential expression,"qPCR, Western blot, RIP, Luciferase reporter assay etc.",27167190,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,up-regulated,qPCR etc.,27215316,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot etc.",27283940,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,up-regulated,qPCR etc.,26551349,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, Northern blot, Flow cytometry assay etc.",17416635,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,up-regulated,"qPCR, RNAi, Western blot, RIP, Luciferase reporter assay, Cell proliferation assay etc.",28271214,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,up-regulated,"qPCR, RNAi, Western blot, RIP etc.",25760077,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Hepatocellular Carcinoma,up-regulated,"qPCR, RNAi, Western blot, RIP, ChIP, Flow cytometry assay etc.",27009634,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
